time,halfW01,d0,d1,d2,d3
2.966,0.7535,0,1,1,0
0.333,0.7652,1,3,3,1
0.367,0.7658,1,3,3,1
0.399,0.7669,1,3,3,1
0.433,0.7680,1,3,3,1
0.466,0.7686,1,3,3,1
0.500,0.7696,1,3,3,1
0.533,0.7706,1,3,3,1
0.566,0.7711,1,3,3,1
0.599,0.7721,1,4,3,1
0.632,0.7725,1,4,3,1
0.666,0.7734,1,4,3,1
0.699,0.7743,1,4,3,1
0.732,0.7752,1,4,3,1
0.766,0.7756,1,4,3,1
0.799,0.7764,1,4,3,1
0.832,0.7771,1,4,3,1
0.866,0.7775,1,4,3,1
0.900,0.7783,1,4,3,1
0.933,0.7790,1,4,3,1
0.968,0.7793,1,4,3,1
0.999,0.7800,1,4,3,2
1.035,0.7807,1,4,3,2
1.065,0.7810,1,4,3,2
1.100,0.7816,1,4,3,2
1.132,0.7822,1,4,3,2
1.166,0.7825,1,4,3,2
1.199,0.7831,1,4,3,2
1.234,0.7837,1,4,3,2
1.266,0.7839,1,4,3,2
1.300,0.7845,1,4,3,2
1.332,0.7847,1,4,3,2
1.366,0.7853,1,4,3,2
1.399,0.7858,1,4,3,2
1.432,0.7860,1,4,3,2
1.469,0.7865,1,4,3,2
1.499,0.7869,1,4,3,2
1.533,0.7874,1,4,3,2
1.566,0.7876,1,4,3,2
1.599,0.7880,1,4,3,2
1.632,0.7885,1,4,3,2
1.667,0.7887,0,0,0,0
1.700,0.7890,0,0,0,0
1.733,0.7894,0,0,0,0
1.765,0.7896,0,0,0,0
1.797,0.7900,0,0,0,0
1.832,0.7901,0,0,0,0
1.867,0.7905,0,0,0,0
1.900,0.7908,0,0,0,0
1.932,0.7911,0,0,0,0
1.966,0.7913,0,0,0,0
1.999,0.7916,0,0,0,0
2.031,0.7917,0,0,0,0
2.067,0.7920,0,0,0,0
2.099,0.7923,0,0,0,0
2.132,0.7924,0,0,0,0
2.166,0.7926,0,0,0,0
2.199,0.7929,0,0,0,0
2.233,0.7931,0,0,0,0
2.266,0.7932,0,0,0,0
2.299,0.7934,0,0,0,0
2.333,0.7936,0,0,0,0
2.366,0.7937,0,0,0,0
2.403,0.7938,0,0,0,0
2.432,0.7940,0,0,0,0
2.465,0.7941,0,0,0,0
2.500,0.7942,0,0,0,0
2.533,0.7943,0,0,0,0
2.567,0.7944,0,0,0,0
2.599,0.7945,0,0,0,0
2.632,0.7946,0,0,0,0
2.666,0.7947,0,0,0,0
2.699,0.7947,0,0,0,0
2.732,0.7948,0,0,0,0
