time,halfW01,d0,d1,d2,d3
2.967,0.7635,0,1,1,0
0.333,0.7711,1,3,3,1
0.365,0.7720,1,3,3,1
0.399,0.7728,1,3,3,1
0.432,0.7733,1,3,3,1
0.466,0.7741,1,3,3,1
0.498,0.7749,1,3,3,1
0.532,0.7753,1,3,3,1
0.566,0.7761,1,3,3,1
0.599,0.7769,1,3,3,1
0.632,0.7773,1,3,3,1
0.666,0.7780,1,3,3,1
0.699,0.7788,1,3,4,1
0.732,0.7791,1,3,4,1
0.766,0.7799,1,3,4,1
0.799,0.7806,1,3,4,1
0.832,0.7809,1,3,4,1
0.867,0.7817,1,3,4,1
0.898,0.7824,1,3,4,1
0.933,0.7827,1,3,4,1
0.964,0.7834,1,3,4,1
0.998,0.7841,1,3,4,1
1.032,0.7845,1,3,4,1
1.065,0.7851,1,3,4,1
1.099,0.7858,1,3,4,1
1.133,0.7862,1,3,4,1
1.165,0.7869,1,3,4,1
1.199,0.7876,1,3,4,1
1.231,0.7879,1,3,4,1
1.265,0.7827,1,3,4,1
1.298,0.7761,1,3,4,1
1.332,0.7671,1,3,4,1
1.365,0.7576,1,3,4,1
1.399,0.7462,1,3,4,1
1.432,0.7326,1,3,4,1
1.466,0.7279,1,3,4,1
1.498,0.7331,1,3,4,1
1.533,0.7362,1,3,3,1
1.565,0.7385,1,3,3,1
1.599,0.7533,1,3,3,1
1.632,0.7689,1,3,3,1
1.665,0.7841,1,3,3,1
1.699,0.7976,1,3,3,1
1.733,0.8087,1,3,3,1
1.765,0.8180,1,4,3,1
1.798,0.8259,1,4,3,1
1.832,0.8315,1,4,3,1
1.866,0.8357,1,4,3,1
1.898,0.8379,1,4,3,1
1.932,0.8378,1,4,3,1
1.966,0.8362,2,4,3,1
1.999,0.8328,2,4,3,1
2.032,0.8272,2,4,3,1
2.066,0.8200,2,4,3,1
2.099,0.8108,2,4,3,1
2.132,0.7998,2,4,3,1
2.166,0.7869,2,4,3,1
2.199,0.7727,2,4,3,1
2.232,0.7597,2,4,3,1
2.266,0.7651,2,3,3,1
2.299,0.7687,2,3,3,1
2.333,0.7704,2,3,3,1
2.365,0.7707,2,3,3,1
2.399,0.7692,2,3,4,1
2.432,0.7660,1,3,4,1
2.465,0.7612,1,3,4,1
2.498,0.7549,1,3,4,1
2.531,0.7468,1,3,3,1
2.566,0.7449,1,3,3,1
2.599,0.7482,1,3,3,2
2.632,0.7524,1,3,3,2
2.665,0.7653,1,3,3,2
2.699,0.7771,1,3,3,2
2.732,0.7775,1,3,3,2
2.766,0.7781,1,3,3,2
2.799,0.7787,1,3,3,2
2.832,0.7583,1,3,3,2
2.866,0.7502,1,3,3,2
2.900,0.7405,1,3,3,2
2.932,0.7433,1,3,3,2
2.966,0.7581,1,3,3,2
2.998,0.7706,1,3,3,2
3.033,0.7816,1,4,3,2
3.065,0.7904,1,4,3,2
3.098,0.7979,1,4,3,2
3.132,0.8033,1,4,3,2
3.166,0.8070,1,4,3,2
3.199,0.8088,1,3,3,2
3.234,0.8086,1,3,3,2
3.266,0.8067,1,3,3,2
3.299,0.8028,1,3,3,2
3.331,0.7974,1,3,3,2
3.365,0.7962,1,3,3,2
3.398,0.7995,1,3,3,2
3.433,0.8011,1,3,3,2
3.465,0.8012,1,3,3,2
3.499,0.7995,1,3,3,2
3.532,0.7960,1,3,3,2
3.566,0.7949,1,3,3,2
3.598,0.8059,1,4,3,1
3.632,0.8158,1,4,3,1
3.666,0.8238,1,4,3,1
3.698,0.8300,1,4,3,1
3.733,0.8346,1,4,3,1
3.765,0.8374,1,4,3,1
3.799,0.8385,1,4,3,1
3.831,0.8377,1,4,3,1
3.865,0.8353,2,4,3,1
3.898,0.8313,2,4,3,1
3.932,0.8250,2,4,3,1
3.965,0.8176,2,4,3,1
3.999,0.8080,2,4,3,1
4.032,0.7970,2,4,3,1
4.066,0.7938,2,4,3,1
