time,halfW01,d0,d1,d2,d3
2.933,0.7614,0,1,1,0
0.333,0.7677,1,3,3,1
0.365,0.7681,1,3,3,1
0.400,0.7690,1,3,3,1
0.433,0.7695,1,3,3,1
0.466,0.7703,1,3,3,1
0.499,0.7712,1,3,3,1
0.532,0.7717,1,3,3,1
0.565,0.7726,1,3,3,1
0.600,0.7735,1,3,3,1
0.633,0.7740,1,3,3,1
0.666,0.7749,1,3,3,1
0.699,0.7758,1,3,3,1
0.732,0.7763,1,3,3,1
0.767,0.7772,1,3,3,1
0.798,0.7781,1,3,3,1
0.833,0.7791,1,4,3,1
0.867,0.7795,1,4,3,1
0.900,0.7805,1,4,3,1
0.932,0.7809,1,4,3,1
0.966,0.7818,1,4,3,1
0.999,0.7827,1,4,3,1
1.033,0.7832,1,4,3,1
1.066,0.7841,1,4,3,1
1.099,0.7850,1,4,3,1
1.135,0.7858,1,4,3,1
1.166,0.7863,1,4,3,1
1.199,0.7871,1,4,3,1
1.233,0.7876,1,4,3,1
1.266,0.7884,1,4,3,1
1.299,0.7892,1,4,3,2
1.333,0.7896,1,4,3,2
1.366,0.7905,1,4,3,2
1.400,0.7913,1,4,3,2
1.433,0.7916,1,4,3,2
1.465,0.7924,1,4,3,2
1.503,0.7932,1,3,3,2
1.532,0.7935,1,3,3,2
1.567,0.7943,1,3,3,2
1.599,0.7950,1,3,3,2
1.632,0.7953,1,3,3,2
1.666,0.7960,0,0,0,0
1.700,0.7966,0,0,0,0
1.733,0.7973,0,0,0,0
1.766,0.7976,0,0,0,0
1.799,0.7982,0,0,0,0
1.833,0.7985,0,0,0,0
1.866,0.7991,0,0,0,0
1.899,0.7996,0,0,0,0
1.932,0.7999,0,0,0,0
1.966,0.8004,0,0,0,0
1.999,0.8009,0,0,0,0
2.033,0.8011,0,0,0,0
2.066,0.8016,0,0,0,0
2.099,0.8020,0,0,0,0
2.133,0.8024,0,0,0,0
2.165,0.8026,0,0,0,0
2.199,0.8030,0,0,0,0
2.233,0.8034,0,0,0,0
2.265,0.8035,0,0,0,0
2.299,0.8039,0,0,0,0
2.333,0.8040,0,0,0,0
2.366,0.8043,0,0,0,0
2.400,0.8046,0,0,0,0
2.432,0.8047,0,0,0,0
2.466,0.8050,0,0,0,0
2.499,0.8052,0,0,0,0
2.533,0.8053,0,0,0,0
2.566,0.8055,0,0,0,0
2.600,0.8057,0,0,0,0
2.633,0.8058,0,0,0,0
2.665,0.8059,0,0,0,0
2.700,0.8061,0,0,0,0
2.733,0.8062,0,0,0,0
2.766,0.8063,0,0,0,0
2.800,0.8160,1,3,3,2
2.833,0.8237,1,3,3,2
2.865,0.8297,1,3,3,2
2.899,0.8342,1,3,3,2
2.932,0.8366,1,3,3,2
2.966,0.8374,1,3,3,2
2.999,0.8365,1,3,3,2
3.033,0.8366,1,3,3,2
3.066,0.8367,1,3,3,2
3.100,0.8369,1,3,3,2
3.132,0.8370,1,4,3,2
3.166,0.8371,1,4,3,2
3.199,0.8373,1,4,3,2
3.232,0.8373,1,4,3,2
3.266,0.8375,1,4,3,2
3.299,0.8376,1,4,3,2
3.333,0.8377,1,4,3,2
3.366,0.8377,1,4,3,2
3.400,0.8378,1,4,3,2
3.433,0.8379,1,4,3,2
3.467,0.8380,1,4,3,2
3.499,0.8380,1,4,3,2
3.533,0.8381,1,4,3,2
3.567,0.8381,1,4,3,2
3.599,0.8382,1,4,3,2
3.633,0.8382,1,4,3,2
3.666,0.8383,1,4,3,2
3.700,0.8383,1,4,3,2
3.732,0.8384,1,4,3,2
3.766,0.8384,1,4,3,2
3.800,0.8385,1,4,3,2
3.833,0.8385,1,4,3,2
3.865,0.8385,1,4,3,2
3.900,0.8385,1,4,3,2
3.933,0.8386,1,4,3,2
3.966,0.8386,1,4,3,2
3.999,0.8386,1,4,3,2
4.032,0.8386,1,4,3,2
4.065,0.8387,1,4,3,2
4.099,0.8387,1,4,3,2
4.132,0.8387,1,4,3,2
4.166,0.8387,1,4,3,2
4.199,0.8387,1,4,3,2
4.233,0.8387,0,0,0,0
4.265,0.8387,0,0,0,0
4.300,0.8387,0,0,0,0
4.333,0.8387,0,0,0,0
4.365,0.8388,0,0,0,0
4.400,0.8388,0,0,0,0
4.432,0.8388,0,0,0,0
4.465,0.8388,0,0,0,0
4.500,0.8388,0,0,0,0
4.532,0.8388,0,0,0,0
4.566,0.8388,0,0,0,0
4.600,0.8388,0,0,0,0
4.633,0.8388,0,0,0,0
4.666,0.8388,0,0,0,0
4.699,0.8388,0,0,0,0
4.733,0.8388,0,0,0,0
4.767,0.8388,0,0,0,0
4.800,0.8388,0,0,0,0
4.832,0.8388,0,0,0,0
4.866,0.8388,0,0,0,0
4.900,0.8388,0,0,0,0
4.933,0.8388,0,0,0,0
